60, 78, 87, 255
255, 128, 128, 255
89, 203, 209, 255
255, 255, 128, 255
192, 229, 203, 255
255, 160, 127, 255
127, 192, 255, 255
172, 220, 201, 255
255, 160, 160, 255
172, 122, 155, 255
16, 0, 48, 255
161, 255, 222, 255
255, 192, 208, 255
64, 32, 48, 255
255, 255, 160, 255
155, 229, 219, 255
234, 222, 212, 255
177, 207, 189, 255
215, 131, 118, 255
255, 217, 214, 255
195, 188, 228, 255
56, 76, 87, 255
60, 0, 52, 255
41, 49, 53, 255
77, 82, 120, 255
165, 250, 228, 255
255, 228, 193, 255
185, 255, 236, 255
211, 255, 222, 255
255, 139, 29, 255
1, 31, 48, 255
39, 40, 65, 255
74, 0, 88, 255
255, 171, 195, 255
255, 204, 176, 255
159, 143, 122, 255
166, 118, 108, 255
121, 153, 187, 255
29, 38, 53, 255
153, 164, 196, 255
76, 52, 52, 255
241, 166, 165, 255
118, 121, 179, 255
63, 234, 183, 255
176, 225, 180, 255
166, 231, 205, 255
12, 10, 48, 255
138, 80, 80, 255
227, 126, 167, 255
