60, 78, 87
255, 128, 128
89, 203, 209
255, 254, 128
192, 229, 203
255, 160, 127
127, 192, 254
172, 220, 201
255, 160, 160
172, 122, 155
16, 0, 48
161, 254, 222
255, 192, 208
64, 32, 48
255, 254, 160
155, 229, 219
234, 222, 212
177, 207, 189
215, 131, 118
255, 217, 214
195, 188, 228
56, 76, 87
60, 0, 52
41, 49, 53
77, 82, 120
165, 250, 228
255, 228, 193
185, 254, 236
211, 254, 222
255, 139, 29
1, 31, 48
39, 40, 65
74, 0, 88
255, 171, 195
255, 204, 176
159, 143, 122
166, 118, 108
121, 153, 187
29, 38, 53
153, 164, 196
76, 52, 52
241, 166, 165
118, 121, 179
63, 234, 183
176, 225, 180
166, 231, 205
12, 10, 48
138, 80, 80
227, 126, 167
